Year,State,Grade,Skill,Percentage
2022,All India,Grade 3,Intermediate Math,36.8
2022,All India,Grade 3,Subtraction,17.6
2022,All India,Grade 3,Division,8.3
2022,All India,Grade 4,Very Low Math,5.8
2022,All India,Grade 4,Basic Math,20.2
2022,All India,Grade 4,Intermediate Math,35.3
2022,All India,Grade 4,Subtraction,22.9
2022,All India,Grade 4,Division,15.9
2022,All India,Grade 5,Very Low Math,3.7
2022,All India,Grade 5,Basic Math,14.6
2022,All India,Grade 5,Intermediate Math,31.8
2022,All India,Grade 5,Subtraction,24.3
2022,All India,Grade 5,Division,25.6
2022,All India,Grade 6,Very Low Math,2.8
2022,All India,Grade 6,Basic Math,10.2
2022,All India,Grade 6,Intermediate Math,30.4
2022,All India,Grade 6,Subtraction,24.9
2022,All India,Grade 6,Division,31.7
2022,All India,Grade 7,Very Low Math,1.9
2022,All India,Grade 7,Basic Math,7.3
2022,All India,Grade 7,Intermediate Math,28.3
2022,All India,Grade 7,Subtraction,24.7
2022,All India,Grade 7,Division,37.8
2022,All India,Grade 8,Very Low Math,1.6
2022,All India,Grade 8,Basic Math,5.2
2022,All India,Grade 8,Intermediate Math,25.5
2022,All India,Grade 8,Subtraction,23.1
2022,All India,Grade 8,Division,44.6
2024,All India,Grade 1,Very Low Math,26.3
2024,All India,Grade 1,Basic Math,39.9
2024,All India,Grade 1,Intermediate Math,26.6
2024,All India,Grade 1,Subtraction,5.2
2024,All India,Grade 1,Division,2
2024,All India,Grade 2,Very Low Math,10.6
2024,All India,Grade 2,Basic Math,33.5
2024,All India,Grade 2,Intermediate Math,37.2
2024,All India,Grade 2,Subtraction,13.7
2024,All India,Grade 2,Division,5
2024,All India,Grade 3,Very Low Math,5.5
2024,All India,Grade 3,Basic Math,23.7
2024,All India,Grade 3,Intermediate Math,37.1
2024,All India,Grade 3,Subtraction,22.3
2024,All India,Grade 3,Division,11.4
2024,All India,Grade 4,Very Low Math,2.9
2024,All India,Grade 4,Basic Math,15.6
